ord;TIME;LATITUDE;LONGITUDE;ALTITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;TERM FUEL TRIM BANK 1;FUEL_ECONOMY;LONG TERM FUEL TRIM BANK 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;SHORT TERM FUEL TRIM BANK 2;SHORT TERM FUEL TRIM BANK 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO;aqui
323;1,51E+12;-587.728.803;-35.176.874;33.0;control1;100;82;52,90;30,20;4;1154;39;5,58;;;;;31;;25;;4,70;01:10:45;24,70;MIL is OFF0 codes;;69,40;1,00;
324;1,51E+12;-5.877.073;-3.517.703.206;32.0;control1;100;82;52,90;53,30;4;1287;46;10,26;;;;;31;;;;-3,90;01:10:50;29,00;MIL is OFF0 codes;;66,30;1,00;
325;1,51E+12;-58.768.485;-3.517.721.739;32.0;control1;100;82;53,70;53,70;4;1396;45;10,87;;;;;31;;28;;-5,50;01:10:54;29,40;MIL is OFF0 codes;;67,80;1,00;
326;1,51E+12;-587.564.666;-3.517.809.876;29.0;control1;100;82;54,10;53,70;4;1439;46;11,29;;;;;30;;29;;-5,50;01:10:58;29,40;MIL is OFF0 codes;;67,80;1,00;
327;1,51E+12;-587.538.055;-3.517.825.831;32.0;control1;100;83;55,30;62,70;4;1065;46;8,41;;;;;31;;30;;1,60;01:11:19;27,10;MIL is OFF0 codes;;67,50;1,00;
328;1,51E+12;-587.512.879;-3.517.841.567;33.0;control1;100;83;55,30;54,10;4;1014;47;7,87;;;;;31;;29;;5,50;01:11:23;26,70;MIL is OFF0 codes;;63,50;1,00;
329;1,51E+12;-587.488.661;-3.517.858.965;33.0;control1;100;84;55,30;63,10;4;982;41;8,83;;;;;31;;26;;-1,60;01:11:27;27,50;MIL is OFF0 codes;4300;62,40;1,00;
330;1,51E+12;-587.466.199;-3.517.875.826;35.0;control1;100;84;55,30;62,70;4;1308;52;10,65;;;;;31;;26;;-0,80;01:11:31;29,40;MIL is OFF0 codes;4300;67,80;1,00;
331;1,51E+12;-587.444.403;-3.517.892.488;35.0;control1;100;84;56,10;60,40;4;1324;52;11,7;;;;;30;;27;;0,80;01:11:35;29,80;MIL is OFF0 codes;4300;65,90;1,00;
332;1,51E+12;-587.424.698;-35.179.088;35.0;control1;100;84;56,50;60,00;4;1341;49;11,61;;;;;30;;27;;-5,50;01:11:39;29,80;MIL is OFF0 codes;;66,30;1,00;
333;1,51E+12;-587.401.452;-3.517.925.903;37.0;control1;100;84;56,90;60,00;4;1361;50;11,89;;;;;30;;28;;0,00;01:11:43;29,80;MIL is OFF0 codes;;66,70;1,00;
334;1,51E+12;-587.378.066;-3.517.942.884;38.0;control1;100;84;57,30;45,50;4;1403;19;7,54;;;;;31;;23;;3,90;01:11:47;24,70;MIL is OFF0 codes;;68,20;1,00;
335;1,51E+12;-587.360.204;-3.517.954.505;38.0;control1;100;84;56,90;22,40;4;1064;35;3,48;;;;;31;;18;;3,10;01:11:51;18,40;MIL is OFF0 codes;4300;60,80;1,00;
336;1,51E+12;-587.342.505;-3.517.966.914;38.0;control1;100;84;56,50;48,60;4;890;53;5,92;;;;;31;;18;;6,20;01:11:55;24,30;MIL is OFF0 codes;;57,60;1,00;
337;1,51E+12;-587.325.929;-3.517.976.201;40.0;control1;100;84;56,50;60,40;4;928;40;8,26;;;;;31;;20;;4,70;01:11:59;26,70;MIL is OFF0 codes;;59,60;1,00;
338;1,51E+12;-587.308.836;-351.798.769;40.0;control1;100;84;56,50;20,80;4;940;38;2,53;;;;;32;;16;;4,70;01:12:03;17,30;MIL is OFF0 codes;;54,90;1,00;
339;1,51E+12;-587.292.256;-3.517.996.764;42.0;control1;100;85;56,10;28,20;4;824;36;2,94;;;;;32;;15;;3,90;01:12:07;17,60;MIL is OFF0 codes;;49,80;1,00;
340;1,51E+12;-587.281.501;-3.518.004.639;41.0;control1;100;85;56,10;43,90;4;795;36;4,72;;;;;33;;10;;-0,80;01:12:11;22,00;MIL is OFF0 codes;;55,70;1,00;
341;1,51E+12;-587.272.371;-3.518.009.149;42.0;control1;100;85;55,30;37,30;4;777;37;4,28;;;;;33;;;;-4,70;01:12:15;20,40;;;55,70;1,00;
342;1,51E+12;-587.272.371;-3.518.009.149;42.0;control1;100;85;54,90;42,40;4;808;32;4,64;;;;;33;;0;;0,80;01:12:19;21,20;;;52,90;1,00;
343;1,51E+12;-587.272.371;-3.518.009.149;42.0;control1;100;85;54,50;37,60;4;807;32;4,28;;;;;33;;0;;0,00;01:12:23;20,40;;;56,10;1,00;
344;1,51E+12;-587.272.371;-3.518.009.149;42.0;control1;100;85;54,50;36,50;4;822;34;4,12;;;;;33;;0;;0,80;01:12:27;20,40;;;56,10;1,00;
345;1,51E+12;-587.272.371;-3.518.009.149;42.0;control1;100;85;54,50;38,40;4;797;50;4,35;;;;;33;;2;;2,30;01:12:31;20,40;MIL is OFF0 codes;;58,00;1,00;
346;1,51E+12;-587.272.371;-3.518.009.149;42.0;control1;100;85;54,50;30,60;4;726;33;4,36;;;;;33;;5;;3,10;01:12:35;20,80;MIL is OFF0 codes;;48,60;1,00;
347;1,51E+12;-587.266.027;-3.518.012.132;44.0;control1;100;86;54,50;39,60;4;811;33;4,27;;;;;33;;;;-6,20;01:12:39;20,40;MIL is OFF0 codes;;52,90;1,00;
348;1,51E+12;-587.258.732;-3.518.016.833;47.0;control1;100;86;54,50;38,40;4;776;32;4,13;;;;;33;;7;;-7,00;01:12:43;20,40;MIL is OFF0 codes;;59,20;1,00;
349;1,51E+12;-587.252.244;-3.518.021.052;47.0;control1;100;86;54,50;39,60;4;782;34;4,49;;;;;33;;8;;-2,30;01:12:47;20,40;MIL is OFF0 codes;;56,90;1,00;
350;1,51E+12;-587.243.277;-3.518.024.436;46.0;control1;100;86;54,50;39,20;4;783;32;4,34;;;;;33;;7;;-2,30;01:12:51;20,40;MIL is OFF0 codes;;56,10;1,00;
351;1,51E+12;-587.235.577;-3.518.027.279;47.0;control1;100;87;54,50;36,50;4;772;36;4,26;;;;;33;;4;;-7,80;01:12:55;20,40;MIL is OFF0 codes;;58,40;1,00;
352;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;87;54,50;40,40;4;793;36;4,54;;;;;33;;0;;-3,10;01:12:59;20,80;MIL is OFF0 codes;;56,10;1,00;
353;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;88;54,10;41,60;4;789;35;4,48;;;;;33;;0;;0,00;01:13:04;20,80;MIL is OFF0 codes;;61,20;1,00;
354;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;88;54,10;34,90;4;802;37;4,18;;;;;33;;0;;1,60;01:13:08;20,40;MIL is OFF0 codes;;56,10;1,00;
355;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;88;54,10;38,80;4;794;33;4,38;;;;;33;;0;;2,30;01:13:12;20,80;MIL is OFF0 codes;;56,50;1,00;
356;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;89;54,10;39,60;4;784;33;4,42;;;;;33;;0;;1,60;01:13:16;20,80;MIL is OFF0 codes;;56,50;1,00;
357;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;89;54,10;38,80;4;808;34;4,27;;;;;33;;0;;-3,10;01:13:20;20,40;MIL is OFF0 codes;;59,20;1,00;
358;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;90;54,10;37,60;4;806;32;4,18;;;;;33;;0;;-2,30;01:13:31;20,40;MIL is OFF0 codes;;55,70;1,00;
359;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;90;54,10;39,20;4;808;33;4,15;;;;;33;;0;;0,80;01:13:35;20,40;MIL is OFF0 codes;;54,90;1,00;
360;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;91;54,10;38,40;4;800;32;4,31;;;;;33;;0;;0,80;01:13:39;20,40;MIL is OFF0 codes;;54,90;1,00;
361;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;91;54,10;38,00;4;799;34;4,2;;;;;33;;0;;0,80;01:13:43;20,40;MIL is OFF0 codes;;56,50;1,00;
362;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;91;54,10;37,30;4;799;34;4,09;;;;;33;;0;;1,60;01:13:47;20,40;;;57,30;1,00;
363;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;92;54,50;37,60;4;802;35;4,12;;;;;33;;0;;2,30;01:13:51;20,80;;;57,30;1,00;
364;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;92;54,50;38,40;4;781;33;4,27;;;;;33;;0;;1,60;01:13:55;20,40;;;56,50;1,00;
365;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;92;54,50;38,40;4;794;34;4,1;;;;;33;;;;-2,30;01:13:59;20,80;MIL is OFF0 codes;;57,60;1,00;
366;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;93;54,50;38,40;4;786;34;4,37;;;;;34;;0;;-3,10;01:14:03;20,80;MIL is OFF0 codes;;57,30;1,00;
367;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;93;54,50;38,40;4;799;34;4,4;;;;;34;;0;;-3,10;01:14:08;20,80;MIL is OFF0 codes;;62,70;1,00;
368;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;94;54,50;37,30;4;805;34;4,14;;;;;34;;0;;1,60;01:14:12;20,40;MIL is OFF0 codes;;56,90;1,00;
369;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;94;54,50;36,90;4;802;33;4,14;;;;;34;;0;;1,60;01:14:16;20,40;MIL is OFF0 codes;;57,30;1,00;
370;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;94;54,50;39,60;4;805;34;4,53;;;;;34;;0;;-5,50;01:14:20;20,80;MIL is OFF0 codes;;58,40;1,00;
371;1,51E+12;-587.231.248;-3.518.028.907;47.0;control1;100;94;54,50;81,60;4;906;48;10,41;;;;;32;;13;;-3,90;01:14:24;29,40;MIL is OFF0 codes;;62,70;1,00;
372;1,51E+12;-58.721.962;-3.518.034.687;45.0;control1;100;95;55,30;15,30;4;1137;19;2,72;;;;;32;;16;;10,20;01:14:28;17,30;MIL is OFF0 codes;;70,20;1,00;
373;1,51E+12;-587.203.878;-3.518.042.908;46.0;control1;100;95;54,90;18,40;4;1271;20;3,4;;;;;33;;13;;12,50;01:14:32;20,00;MIL is OFF0 codes;;61,60;1,00;
374;1,51E+12;-587.192.844;-3.518.050.011;45.0;control1;100;95;54,50;35,70;4;806;36;4,44;;;;;33;;4;;6,20;01:14:36;20,80;MIL is OFF0 codes;;67,80;1,00;
375;1,51E+12;-587.187.914;-3.518.052.938;43.0;control1;100;96;54,10;42,70;4;813;37;4,73;;;;;33;;1;;-2,30;01:14:40;21,20;MIL is OFF0 codes;;54,10;1,00;
376;1,51E+12;-587.187.914;-3.518.052.938;43.0;control1;100;96;53,70;40,80;4;810;32;4,75;;;;;34;;0;;-5,50;01:14:44;21,20;MIL is OFF0 codes;;51,40;1,00;
377;1,51E+12;-587.187.914;-3.518.052.938;43.0;control1;100;96;54,10;36,50;4;797;36;4,61;;;;;34;;0;;-4,70;01:14:48;21,20;MIL is OFF0 codes;;61,60;1,00;
378;1,51E+12;-587.187.914;-3.518.052.938;43.0;control1;100;97;54,10;42,40;4;792;32;4,67;;;;;34;;0;;-6,20;01:14:52;21,60;MIL is OFF0 codes;;54,50;1,00;
379;1,51E+12;-587.171.022;-3.518.061.388;43.0;control1;100;97;54,10;36,90;4;806;32;4,38;;;;;34;;0;;0,80;01:14:56;20,40;MIL is OFF0 codes;;59,20;1,00;
380;1,51E+12;-58.715.211;-3.518.071.181;43.0;control1;100;99;54,90;42,00;4;783;33;4,64;;;;;34;;9;;-5,50;01:15:22;21,60;MIL is OFF0 codes;;59,60;1,00;
381;1,51E+12;-587.143.091;-3.518.074.953;43.0;control1;100;99;54,90;41,60;4;796;35;4,44;;;;;34;;9;;-7,00;01:15:26;20,80;MIL is OFF0 codes;4300;57,30;1,00;
382;1,51E+12;-587.135.658;-3.518.079.373;42.0;control1;100;99;54,90;41,60;4;802;34;4,51;;;;;34;;8;;-7,80;01:15:30;20,80;MIL is OFF0 codes;4300;58,00;1,00;
383;1,51E+12;-587.128.708;-3.518.083.411;42.0;control1;100;100;54,90;41,20;4;793;35;4,84;;;;;34;;;;-2,30;01:15:34;21,20;MIL is OFF0 codes;;;;
384;1,51E+12;-587.128.708;-3.518.083.411;42.0;control1;100;100;54,90;40,00;4;797;36;4,36;;;;;34;;1;;-2,30;01:15:38;20,80;MIL is OFF0 codes;;;;
385;1,51E+12;-587.128.708;-3.518.083.411;42.0;control1;100;100;54,90;40,80;4;781;33;4,63;;;;;34;;0;;0,80;01:15:42;21,20;MIL is OFF0 codes;;;;
386;1,51E+12;-587.128.708;-3.518.083.411;42.0;control1;100;99;54,90;40,40;4;803;35;4,32;;;;;34;;0;;2,30;01:15:46;20,80;MIL is OFF0 codes;;;;
387;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;99;54,90;38,80;4;797;36;4,54;;;;;;;0;;3,90;01:15:50;20,80;MIL is OFF0 codes;;;;
388;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;98;54,90;42,00;4;793;35;4,49;;;;;34;;0;;3,90;01:15:54;21,20;MIL is OFF0 codes;;;;
389;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;97;54,90;42,70;4;796;35;4,53;;;;;34;;0;;-2,30;01:15:59;21,20;;;;;
390;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;96;54,90;41,20;4;802;36;4,52;;;;;34;;0;;-2,30;01:16:02;20,80;MIL is OFF0 codes;;;;
391;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;95;54,90;40,80;4;802;35;4,67;;;;;34;;0;;3,90;01:16:07;21,20;;;;;
392;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;94;54,90;40,40;4;811;34;4,49;;;;;34;;;;2,30;01:16:11;20,80;;;;;
393;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;94;54,90;39,60;4;795;32;4,53;;;;;34;;0;;2,30;01:16:15;20,80;MIL is OFF0 codes;;;;
394;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;93;54,90;38,40;4;790;33;4,55;;;;;34;;0;;-1,60;01:16:19;20,80;MIL is OFF0 codes;;;;
395;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;92;54,90;38,40;4;795;34;4,09;;;;;34;;0;;-0,80;01:16:22;20,40;;;;;
396;1,51E+12;-587.124.457;-3.518.084.972;42.0;control1;100;91;54,90;40,80;4;792;61;4,69;;;;;34;;;;4,70;01:16:27;21,20;MIL is OFF0 codes;;;;
397;1,51E+12;-58.711.666;-3.518.089.238;42.0;control1;100;91;55,70;20,00;4;1467;21;3,12;;;;;33;;10;;6,20;01:16:31;20,00;MIL is OFF0 codes;;;;
398;1,51E+12;-587.105.263;-3.518.095.109;42.0;control1;100;90;55,70;18,40;4;1010;27;2,79;;;;;34;;9;;-5,50;01:16:35;17,60;MIL is OFF0 codes;;;;
399;1,51E+12;-587.096.157;-3.518.100.001;42.0;control1;100;89;55,30;35,70;4;778;41;4,17;;;;;34;;9;;3,90;01:16:39;20,40;MIL is OFF0 codes;;;;
400;1,51E+12;-587.087.571;-3.518.104.257;41.0;control1;100;89;54,90;42,00;4;822;32;4,68;;;;;34;;9;;3,10;01:16:43;21,60;MIL is OFF0 codes;;;;
401;1,51E+12;-587.078.304;-3.518.109.612;40.0;control1;100;90;54,90;38,80;4;823;32;4,12;;;;;34;;;;0,80;01:16:47;20,40;MIL is OFF0 codes;;;;
402;1,51E+12;-587.070.635;-3.518.111.858;43.0;control1;100;90;54,50;36,50;4;818;35;4,21;;;;;35;;3;;0,80;01:16:51;20,40;MIL is OFF0 codes;;;;
403;1,51E+12;-587.070.635;-3.518.111.858;43.0;control1;100;92;54,10;36,90;4;800;33;4,2;;;;;35;;0;;-0,80;01:17:22;20,40;MIL is OFF0 codes;;;;
404;1,51E+12;-587.070.635;-3.518.111.858;43.0;control1;100;93;54,10;37,60;4;806;34;4,23;;;;;35;;0;;3,90;01:17:26;20,40;MIL is OFF0 codes;;;;
405;1,51E+12;-587.070.635;-3.518.111.858;43.0;control1;100;93;54,10;39,60;4;802;35;4,29;;;;;35;;;;3,90;01:17:30;20,80;MIL is OFF0 codes;;;;
406;1,51E+12;-587.070.635;-3.518.111.858;43.0;control1;100;94;54,50;37,30;4;795;35;4,11;;;;;35;;0;;2,30;01:17:34;20,80;MIL is OFF0 codes;;;;
407;1,51E+12;-587.070.635;-3.518.111.858;43.0;control1;100;94;54,50;38,80;4;793;34;4,21;;;;;35;;0;;;01:17:38;20,80;MIL is OFF0 codes;;;;
408;1,51E+12;-587.070.635;-3.518.111.858;43.0;control1;100;94;54,50;40,00;4;792;51;4,37;;;;;35;;2;;-1,60;01:17:42;20,80;MIL is OFF0 codes;;;;
409;1,51E+12;-587.061.461;-3.518.114.782;41.0;control1;100;94;54,90;85,50;4;982;34;12,85;;;;;33;;;;-4,70;01:17:46;31,00;MIL is OFF0 codes;;;;
410;1,51E+12;-587.046.021;-3.518.123.007;41.0;control1;100;95;55,30;53,30;4;1361;21;10,7;;;;;33;;21;;-3,90;01:17:50;29,40;MIL is OFF0 codes;;;;
411;1,51E+12;-587.026.201;-3.518.132.541;42.0;control1;100;95;55,70;63,50;4;1016;54;9,75;;;;;33;;24;;3,90;01:17:54;28,20;MIL is OFF0 codes;;;;
412;1,51E+12;-587.003.547;-3.518.143.649;44.0;control1;100;95;56,10;64,70;4;1227;52;11,4;;;;;33;;;;0,80;01:17:58;29,80;MIL is OFF0 codes;;;;
413;1,51E+12;-586.977.944;-3.518.156.321;46.0;control1;100;96;56,50;52,90;4;1377;46;10,5;;;;;32;;27;;0,00;01:18:02;29,00;MIL is OFF0 codes;;;;
414;1,51E+12;-586.952.731;-3.518.169.415;46.0;control1;100;96;56,90;52,20;4;1376;43;10,45;;;;;32;;28;;0,00;01:18:06;29,00;MIL is OFF0 codes;;;;
415;1,51E+12;-58.692.813;-3.518.180.705;47.0;control1;100;97;56,90;18,40;4;1322;20;3,38;;;;;33;;;;9,40;01:18:10;20,40;MIL is OFF0 codes;;;;
416;1,51E+12;-586.910.632;-3.518.189.252;48.0;control1;100;97;56,50;18,80;4;960;35;2,88;;;;;34;;10;;10,90;01:18:14;18,40;MIL is OFF0 codes;;;;
417;1,51E+12;-586.902.303;-351.819.385;46.0;control1;100;97;55,70;38,40;4;801;34;4,11;;;;;35;;4;;3,90;01:18:18;20,40;MIL is OFF0 codes;;;;
418;1,51E+12;-586.902.303;-351.819.385;46.0;control1;100;97;55,30;37,60;4;798;33;4,35;;;;;35;;1;;-1,60;01:18:22;20,40;MIL is OFF0 codes;;;;
419;1,51E+12;-586.898.001;-3.518.196.261;46.0;control1;100;98;55,30;37,30;4;789;32;3,98;;;;;35;;0;;5,50;01:18:26;20,40;MIL is OFF0 codes;;;;
420;1,51E+12;-586.898.001;-3.518.196.261;46.0;control1;100;98;55,30;38,00;4;792;34;4,19;;;;;35;;0;;4,70;01:18:30;20,40;MIL is OFF0 codes;;;;
421;1,51E+12;-586.898.001;-3.518.196.261;46.0;control1;100;98;55,30;35,30;4;797;33;4,11;;;;;;;0;;-0,80;01:18:34;20,40;MIL is OFF0 codes;;;;
422;1,51E+12;-586.898.001;-3.518.196.261;46.0;control1;100;99;55,30;67,10;4;848;19;7,77;;;;;34;;12;;-3,10;01:18:52;25,90;MIL is OFF0 codes;;;;
423;1,51E+12;-586.886.142;-3.518.201.422;45.0;control1;100;99;55,70;89,00;4;1001;36;11,44;;;;;33;;20;;-7,00;01:18:56;30,20;MIL is OFF0 codes;;;;
424;1,51E+12;-586.871.921;-3.518.210.139;44.0;control1;100;100;56,50;47,10;4;1135;40;9,27;;;;;33;;22;;1,60;01:19:00;27,50;MIL is OFF0 codes;;;;
425;1,51E+12;-586.853.308;-3.518.220.356;44.0;control1;100;99;56,10;19,20;4;1047;24;2,93;;;;;35;;18;;-2,30;01:19:04;18,80;;;;;
426;1,51E+12;-586.836.947;-3.518.229.004;45.0;control1;100;99;55,70;31,00;4;880;36;3,81;;;;;35;;15;;-6,20;01:19:08;19,60;;;;;
427;1,51E+12;-586.822.924;-3.518.235.206;46.0;control1;100;98;55,70;54,50;4;740;36;5,11;;;;;35;;7;;-1,60;01:19:12;22,70;;;;;
428;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;98;55,30;44,70;4;792;37;4,81;;;;;36;;;;-2,30;01:19:16;21,60;MIL is OFF0 codes;;;;
429;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;97;54,90;42,00;4;783;34;4,42;;;;;36;;0;;1,60;01:19:20;20,80;MIL is OFF0 codes;;;;
430;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;97;54,90;39,20;4;795;36;4,47;;;;;36;;0;;1,60;01:19:24;20,80;MIL is OFF0 codes;;;;
431;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;96;54,90;42,40;4;792;33;4,65;;;;;36;;;;-3,10;01:19:28;21,20;MIL is OFF0 codes;;;;
432;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;95;54,50;41,60;4;808;33;4,55;;;;;36;;0;;-3,10;01:19:32;20,80;MIL is OFF0 codes;;;;
433;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;95;54,50;41,20;4;802;33;4,57;;;;;36;;0;;-2,30;01:19:36;20,80;MIL is OFF0 codes;;;;
434;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;94;54,50;42,00;4;778;36;4,65;;;;;36;;0;;-3,10;01:19:40;21,20;MIL is OFF0 codes;;;;
435;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;93;54,50;40,80;4;805;34;4,41;;;;;36;;0;;3,10;01:19:44;20,40;MIL is OFF0 codes;;;;
436;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;93;54,50;38,00;4;796;44;5,32;;;;;36;;0;;0,80;01:19:48;27,10;MIL is OFF0 codes;;;;
437;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;92;54,50;73,30;4;843;35;2,8;;;;;36;;0;;0,80;01:19:52;17,60;MIL is OFF0 codes;;;;
438;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;91;54,50;36,10;4;794;34;4,29;;;;;37;;0;;0,80;01:19:56;20,40;MIL is OFF0 codes;;;;
439;1,51E+12;-586.814.207;-3.518.237.919;46.0;control1;100;91;54,50;37,60;4;798;59;4,42;;;;;36;;6;;2,30;01:20:00;20,40;MIL is OFF0 codes;;;;
440;1,51E+12;-58.680.812;-3.518.239.406;43.0;control1;100;90;55,30;56,50;4;1538;54;4,58;;;;;35;;;;5,50;01:20:04;20,40;MIL is OFF0 codes;;;;
441;1,51E+12;-586.717.848;-3.518.269.172;41.0;control1;100;90;55,70;59,60;4;1594;52;11,21;;;;;34;;23;;4,70;01:20:08;21,20;MIL is OFF0 codes;;;;
442;1,51E+12;-586.691.629;-3.518.292.823;40.0;control1;100;91;55,70;35,70;4;964;22;4,76;;;;;36;;37;;4,70;01:20:23;21,60;MIL is OFF0 codes;;;;
443;1,51E+12;-586.668.655;-3.518.322.235;37.0;control1;100;91;55,70;20,80;4;1007;22;3,01;;;;;36;;38;;4,70;01:20:27;18,80;MIL is OFF0 codes;;;;
444;1,51E+12;-586.649.133;-3.518.354.887;36.0;control1;100;91;55,30;32,20;4;714;21;4,4;;;;;36;;39;;-0,80;01:20:31;22,70;MIL is OFF0 codes;;;;
445;1,51E+12;-586.630.828;-3.518.389.428;34.0;control1;100;91;54,90;20,80;4;1912;21;5,92;;;;;35;;39;;0,00;01:20:35;24,30;MIL is OFF0 codes;;;;
446;1,51E+12;-586.611.799;-3.518.424.376;32.0;control1;100;91;54,50;20,80;4;1944;21;6,03;;;;;35;;39;;0,00;01:20:39;24,30;MIL is OFF0 codes;;;;
447;1,51E+12;-586.595.293;-3.518.459.274;33.0;control1;100;90;54,50;20,80;4;1906;20;5,99;;;;;35;;36;;0,00;01:20:43;23,90;MIL is OFF0 codes;;;;
448;1,51E+12;-586.579.117;-3.518.491.998;35.0;control1;100;90;54,10;20,80;4;1730;22;5,55;;;;;35;;33;;10,20;01:20:47;23,50;MIL is OFF0 codes;;;;
449;1,51E+12;-586.562.501;-3.518.521.951;36.0;control1;100;90;54,10;32,90;4;1633;29;8,08;;;;;35;;33;;4,70;01:20:51;26,70;MIL is OFF0 codes;;;;
450;1,51E+12;-586.545.975;-3.518.551.978;37.0;control1;100;89;54,50;36,90;4;1635;42;8,69;;;;;34;;;;-2,30;01:20:55;27,10;MIL is OFF0 codes;;;;
451;1,51E+12;-58.652.855;-3.518.581.174;38.0;control1;100;89;54,50;49,00;4;1120;42;7,86;;;;;34;;33;;0,00;01:20:59;26,70;MIL is OFF0 codes;;;;
452;1,51E+12;-586.512.495;-3.518.612.632;36.0;control1;100;89;54,50;49,40;4;1142;42;8,52;;;;;34;;35;;-0,80;01:21:03;27,10;MIL is OFF0 codes;;;;
453;1,51E+12;-586.496.385;-3.518.642.243;37.0;control1;100;89;54,50;49,80;4;1158;41;8,41;;;;;34;;34;;-0,80;01:21:07;26,70;MIL is OFF0 codes;;;;
454;1,51E+12;-586.479.109;-3.518.672.427;37.0;control1;100;89;54,90;49,40;4;1153;39;7,74;;;;;35;;;;0,80;01:21:11;26,30;MIL is OFF0 codes;;;;
455;1,51E+12;-586.463.508;-351.870.471;38.0;control1;100;90;54,90;44,30;4;1151;38;7,33;;;;;35;;34;;3,10;01:21:15;25,90;MIL is OFF0 codes;;;;
456;1,51E+12;-586.448.185;-3.518.736.758;37.0;control1;100;89;54,90;43,50;4;1149;40;7,32;;;;;35;;35;;3,90;01:21:19;25,90;MIL is OFF0 codes;;;;
457;1,51E+12;-586.429.893;-3.518.766.844;36.0;control1;100;90;54,90;47,80;4;1166;42;8,07;;;;;35;;;;-1,60;01:21:23;26,70;MIL is OFF0 codes;;;;
458;1,51E+12;-586.412.015;-3.518.796.273;36.0;control1;100;89;54,90;48,20;4;1187;39;8,2;;;;;35;;35;;3,90;01:21:27;26,70;MIL is OFF0 codes;;;;
459;1,51E+12;-586.391.011;-3.518.825.622;35.0;control1;100;90;54,90;42,40;4;1202;36;7,28;;;;;;;36;;3,90;01:21:32;25,90;MIL is OFF0 codes;4300;66,70;1,00;
460;1,51E+12;-586.369.775;-3.518.853.976;33.0;control1;100;90;54,90;43,10;4;1188;36;7,36;;;;;35;;;;-0,80;01:21:36;25,90;MIL is OFF0 codes;4300;66,30;1,00;
461;1,51E+12;-586.346.071;-3.518.880.577;34.0;control1;100;90;54,90;43,10;4;1169;36;7,3;;;;;35;;35;;3,90;01:21:40;25,90;MIL is OFF0 codes;4300;65,90;1,00;
462;1,51E+12;-586.324.681;-3.518.907.439;35.0;control1;100;89;54,90;40,80;4;1167;35;6,76;;;;;35;;36;;3,90;01:21:44;25,10;MIL is OFF0 codes;4300;66,30;1,00;
463;1,51E+12;-586.303.115;-3.518.936.345;36.0;control1;100;89;54,90;39,60;4;1188;32;6,79;;;;;35;;36;;4,70;01:21:48;25,10;MIL is OFF0 codes;4300;66,70;1,00;
